provinsi,wilayah,tahun_tanggal,positif_covid,kematian
Queensland,Australia,2022-10-18,1655265,2236
South Australia,Australia,2022-10-18,772083,1027
Tasmania,Australia,2022-10-18,251023,189
Victoria,Australia,2022-10-18,2635010,5773
Western Australia,Australia,2022-10-18,1164098,674
Australian Capital Territory,Australia,2022-10-19,206938,126
New South Wales,Australia,2022-10-19,3530443,5392
Northern Territory,Australia,2022-10-19,97958,73
Queensland,Australia,2022-10-19,1655265,2236
South Australia,Australia,2022-10-19,772083,1027
Tasmania,Australia,2022-10-19,251023,189
Victoria,Australia,2022-10-19,2636103,5779
Western Australia,Australia,2022-10-19,1164098,674
Australian Capital Territory,Australia,2022-10-20,207667,127
New South Wales,Australia,2022-10-20,3539264,5414
Northern Territory,Australia,2022-10-20,98225,74
Queensland,Australia,2022-10-20,1661088,2236
South Australia,Australia,2022-10-20,777596,1029
Tasmania,Australia,2022-10-20,251023,189
Victoria,Australia,2022-10-20,2637220,5784
Western Australia,Australia,2022-10-20,1168975,677
Australian Capital Territory,Australia,2022-10-21,207667,127
New South Wales,Australia,2022-10-21,3539264,5414
Northern Territory,Australia,2022-10-21,98225,74
Queensland,Australia,2022-10-21,1660208,2256
South Australia,Australia,2022-10-21,777596,1029
Tasmania,Australia,2022-10-21,251733,192
Victoria,Australia,2022-10-21,2638210,5800
Western Australia,Australia,2022-10-21,1168975,677
Australian Capital Territory,Australia,2022-10-22,207667,127
New South Wales,Australia,2022-10-22,3539264,5414
Northern Territory,Australia,2022-10-22,98225,74
Queensland,Australia,2022-10-22,1660208,2256
South Australia,Australia,2022-10-22,777596,1029
Tasmania,Australia,2022-10-22,251733,192
Victoria,Australia,2022-10-22,2639159,5800
Western Australia,Australia,2022-10-22,1168975,677
Australian Capital Territory,Australia,2022-10-23,207667,127
New South Wales,Australia,2022-10-23,3539264,5414
Northern Territory,Australia,2022-10-23,98225,74
Queensland,Australia,2022-10-23,1660208,2256
South Australia,Australia,2022-10-23,777596,1029
Tasmania,Australia,2022-10-23,251733,192
Victoria,Australia,2022-10-23,2640079,5800
Western Australia,Australia,2022-10-23,1168975,677
Australian Capital Territory,Australia,2022-10-24,207667,127
New South Wales,Australia,2022-10-24,3539264,5414
Northern Territory,Australia,2022-10-24,98225,74
Queensland,Australia,2022-10-24,1660208,2256
South Australia,Australia,2022-10-24,777596,1029
Tasmania,Australia,2022-10-24,251733,192
Victoria,Australia,2022-10-24,2641588,5811
Western Australia,Australia,2022-10-24,1168975,677
Australian Capital Territory,Australia,2022-10-25,207667,127
New South Wales,Australia,2022-10-25,3539264,5414
Northern Territory,Australia,2022-10-25,98225,74
Queensland,Australia,2022-10-25,1660208,2256
South Australia,Australia,2022-10-25,777596,1029
Tasmania,Australia,2022-10-25,251733,192
Victoria,Australia,2022-10-25,2643137,5817
Western Australia,Australia,2022-10-25,1168975,677
Australian Capital Territory,Australia,2022-10-26,207667,127
New South Wales,Australia,2022-10-26,3539264,5414
Northern Territory,Australia,2022-10-26,98225,74
Queensland,Australia,2022-10-26,1660208,2256
South Australia,Australia,2022-10-26,777596,1029
Tasmania,Australia,2022-10-26,251733,192
Victoria,Australia,2022-10-26,2644620,5820
Western Australia,Australia,2022-10-26,1168975,677
Australian Capital Territory,Australia,2022-10-27,208495,127
New South Wales,Australia,2022-10-27,3549295,5430
Northern Territory,Australia,2022-10-27,98225,74
Queensland,Australia,2022-10-27,1664371,2274
South Australia,Australia,2022-10-27,777596,1029
Tasmania,Australia,2022-10-27,251733,192
Victoria,Australia,2022-10-27,2645945,5833
Western Australia,Australia,2022-10-27,1168975,677
Australian Capital Territory,Australia,2022-10-28,208495,127
New South Wales,Australia,2022-10-28,3549295,5430
Northern Territory,Australia,2022-10-28,98498,75
Queensland,Australia,2022-10-28,1664371,2274
South Australia,Australia,2022-10-28,780106,1029
Tasmania,Australia,2022-10-28,252630,193
Victoria,Australia,2022-10-28,2647295,5836
Western Australia,Australia,2022-10-28,1174785,696
Australian Capital Territory,Australia,2022-10-29,208495,127
New South Wales,Australia,2022-10-29,3549295,5430
Northern Territory,Australia,2022-10-29,98498,75
Queensland,Australia,2022-10-29,1664371,2274
South Australia,Australia,2022-10-29,780106,1029
Tasmania,Australia,2022-10-29,252630,193
Victoria,Australia,2022-10-29,2648473,5836
Western Australia,Australia,2022-10-29,1174785,696
Australian Capital Territory,Australia,2022-10-30,208495,127
New South Wales,Australia,2022-10-30,3549295,5430
Northern Territory,Australia,2022-10-30,98498,75
Queensland,Australia,2022-10-30,1664371,2274
South Australia,Australia,2022-10-30,780106,1029
Tasmania,Australia,2022-10-30,252630,193
Victoria,Australia,2022-10-30,2649608,5836
Western Australia,Australia,2022-10-30,1174785,696
Australian Capital Territory,Australia,2022-10-31,208495,127
New South Wales,Australia,2022-10-31,3549295,5430
Northern Territory,Australia,2022-10-31,98498,75
Queensland,Australia,2022-10-31,1664371,2274
South Australia,Australia,2022-10-31,780106,1029
Tasmania,Australia,2022-10-31,252630,193
Victoria,Australia,2022-10-31,2651262,5841
Western Australia,Australia,2022-10-31,1174785,696
Australian Capital Territory,Australia,2022-11-01,208495,127
New South Wales,Australia,2022-11-01,3549295,5430
Northern Territory,Australia,2022-11-01,98498,75
Queensland,Australia,2022-11-01,1664371,2274
South Australia,Australia,2022-11-01,780106,1029
Tasmania,Australia,2022-11-01,252630,193
Victoria,Australia,2022-11-01,2652945,5841
Western Australia,Australia,2022-11-01,1174785,696
Australian Capital Territory,Australia,2022-11-02,208495,127
New South Wales,Australia,2022-11-02,3549295,5430
Northern Territory,Australia,2022-11-02,98498,75
Queensland,Australia,2022-11-02,1664371,2274
South Australia,Australia,2022-11-02,780106,1029
Tasmania,Australia,2022-11-02,252630,193
Victoria,Australia,2022-11-02,2654825,5854
Western Australia,Australia,2022-11-02,1174785,696
Australian Capital Territory,Australia,2022-11-03,209414,128
New South Wales,Australia,2022-11-03,3561735,5454
Northern Territory,Australia,2022-11-03,98763,77
Queensland,Australia,2022-11-03,1668438,2288
South Australia,Australia,2022-11-03,780106,1029
Tasmania,Australia,2022-11-03,252630,193
Victoria,Australia,2022-11-03,2656842,5856
Western Australia,Australia,2022-11-03,1174785,696
Australian Capital Territory,Australia,2022-11-04,209414,128
New South Wales,Australia,2022-11-04,3561735,5454
Northern Territory,Australia,2022-11-04,98763,77
Queensland,Australia,2022-11-04,1668438,2288
South Australia,Australia,2022-11-04,784599,1061
Tasmania,Australia,2022-11-04,253950,198
Victoria,Australia,2022-11-04,2658734,5866
Western Australia,Australia,2022-11-04,1181640,714
Australian Capital Territory,Australia,2022-11-05,209414,128
New South Wales,Australia,2022-11-05,3561735,5454
Northern Territory,Australia,2022-11-05,98763,77
Queensland,Australia,2022-11-05,1668438,2288
South Australia,Australia,2022-11-05,784599,1061
Tasmania,Australia,2022-11-05,253950,198
Victoria,Australia,2022-11-05,2660447,5866
Western Australia,Australia,2022-11-05,1181640,714
Australian Capital Territory,Australia,2022-11-06,209414,128
New South Wales,Australia,2022-11-06,3561735,5454
Northern Territory,Australia,2022-11-06,98763,77
Queensland,Australia,2022-11-06,1668438,2288
South Australia,Australia,2022-11-06,784599,1061
Tasmania,Australia,2022-11-06,253950,198
Victoria,Australia,2022-11-06,2662318,5866
Western Australia,Australia,2022-11-06,1181640,714
Australian Capital Territory,Australia,2022-11-07,209414,128
New South Wales,Australia,2022-11-07,3561735,5454
Northern Territory,Australia,2022-11-07,98763,77
Queensland,Australia,2022-11-07,1668438,2288
South Australia,Australia,2022-11-07,784599,1061
Tasmania,Australia,2022-11-07,253950,198
Victoria,Australia,2022-11-07,2665027,5872
Western Australia,Australia,2022-11-07,1181640,714
Australian Capital Territory,Australia,2022-11-08,209414,128
New South Wales,Australia,2022-11-08,3561735,5454
Northern Territory,Australia,2022-11-08,98763,77
Queensland,Australia,2022-11-08,1668438,2288
South Australia,Australia,2022-11-08,784599,1061
Tasmania,Australia,2022-11-08,253950,198
Victoria,Australia,2022-11-08,2668400,5888
Western Australia,Australia,2022-11-08,1181640,714
Australian Capital Territory,Australia,2022-11-09,209414,128
New South Wales,Australia,2022-11-09,3561735,5454
Northern Territory,Australia,2022-11-09,98763,77
Queensland,Australia,2022-11-09,1668438,2288
South Australia,Australia,2022-11-09,784599,1061
Tasmania,Australia,2022-11-09,253950,198
Victoria,Australia,2022-11-09,2671457,5897
Western Australia,Australia,2022-11-09,1181640,714
Australian Capital Territory,Australia,2022-11-10,210609,128
New South Wales,Australia,2022-11-10,3581110,5476
Northern Territory,Australia,2022-11-10,99128,79
Queensland,Australia,2022-11-10,1673798,2303
South Australia,Australia,2022-11-10,784599,1061
Tasmania,Australia,2022-11-10,253950,198
Victoria,Australia,2022-11-10,2674120,5896
Western Australia,Australia,2022-11-10,1181640,714
Australian Capital Territory,Australia,2022-11-11,210609,128
New South Wales,Australia,2022-11-11,3581110,5476
Northern Territory,Australia,2022-11-11,99128,79
Queensland,Australia,2022-11-11,1673798,2303
South Australia,Australia,2022-11-11,784599,1061
Tasmania,Australia,2022-11-11,256075,199
Victoria,Australia,2022-11-11,2677113,5907
Western Australia,Australia,2022-11-11,1189668,720
Australian Capital Territory,Australia,2022-11-12,210609,128
New South Wales,Australia,2022-11-12,3581110,5476
Northern Territory,Australia,2022-11-12,99128,79
Queensland,Australia,2022-11-12,1673798,2303
South Australia,Australia,2022-11-12,791713,1058
Tasmania,Australia,2022-11-12,256075,199
Victoria,Australia,2022-11-12,2677113,5907
Western Australia,Australia,2022-11-12,1189668,720
Australian Capital Territory,Australia,2022-11-13,210609,128
New South Wales,Australia,2022-11-13,3581110,5476
Northern Territory,Australia,2022-11-13,99128,79
Queensland,Australia,2022-11-13,1673798,2303
South Australia,Australia,2022-11-13,791713,1058
Tasmania,Australia,2022-11-13,256075,199
Victoria,Australia,2022-11-13,2681924,5907
Western Australia,Australia,2022-11-13,1189668,720
Australian Capital Territory,Australia,2022-11-14,210609,128
New South Wales,Australia,2022-11-14,3581110,5476
Northern Territory,Australia,2022-11-14,99128,79
Queensland,Australia,2022-11-14,1673798,2303
South Australia,Australia,2022-11-14,791713,1058
Tasmania,Australia,2022-11-14,256075,199
Victoria,Australia,2022-11-14,2685116,5918
Western Australia,Australia,2022-11-14,1189668,720
Australian Capital Territory,Australia,2022-11-15,210609,128
New South Wales,Australia,2022-11-15,3581110,5476
Northern Territory,Australia,2022-11-15,99128,79
Queensland,Australia,2022-11-15,1673798,2303
South Australia,Australia,2022-11-15,791713,1058
Tasmania,Australia,2022-11-15,256075,199
Victoria,Australia,2022-11-15,2688568,5928
Western Australia,Australia,2022-11-15,1189668,720
Australian Capital Territory,Australia,2022-11-16,210609,128
New South Wales,Australia,2022-11-16,3581110,5476
Northern Territory,Australia,2022-11-16,99128,79
Queensland,Australia,2022-11-16,1673798,2303
South Australia,Australia,2022-11-16,791713,1058
Tasmania,Australia,2022-11-16,256075,199
Victoria,Australia,2022-11-16,2691818,5936
Western Australia,Australia,2022-11-16,1189668,720
Australian Capital Territory,Australia,2022-11-17,212092,129
New South Wales,Australia,2022-11-17,3608974,5515
Northern Territory,Australia,2022-11-17,99410,79
Queensland,Australia,2022-11-17,1683096,2317
South Australia,Australia,2022-11-17,800347,1060
Tasmania,Australia,2022-11-17,256075,199
Victoria,Australia,2022-11-17,2694518,5942
Western Australia,Australia,2022-11-17,1198725,735
Australian Capital Territory,Australia,2022-11-18,212092,129
New South Wales,Australia,2022-11-18,3608974,5515
Northern Territory,Australia,2022-11-18,99410,79
Queensland,Australia,2022-11-18,1683096,2317
South Australia,Australia,2022-11-18,800347,1060
Tasmania,Australia,2022-11-18,258301,201
Victoria,Australia,2022-11-18,2694367,5944
Western Australia,Australia,2022-11-18,1198725,735
Australian Capital Territory,Australia,2022-11-19,212092,129
New South Wales,Australia,2022-11-19,3608974,5515
Northern Territory,Australia,2022-11-19,99410,79
Queensland,Australia,2022-11-19,1683096,2317
South Australia,Australia,2022-11-19,800347,1060
Tasmania,Australia,2022-11-19,258301,201
Victoria,Australia,2022-11-19,2696774,5944
Western Australia,Australia,2022-11-19,1198725,735
Australian Capital Territory,Australia,2022-11-20,212092,129
New South Wales,Australia,2022-11-20,3608974,5515
Northern Territory,Australia,2022-11-20,99410,79
Queensland,Australia,2022-11-20,1683096,2317
South Australia,Australia,2022-11-20,800347,1060
Tasmania,Australia,2022-11-20,258301,201
Victoria,Australia,2022-11-20,2699335,5944
Western Australia,Australia,2022-11-20,1198725,735
Australian Capital Territory,Australia,2022-11-21,212092,129
New South Wales,Australia,2022-11-21,3608974,5515
Northern Territory,Australia,2022-11-21,99410,79
Queensland,Australia,2022-11-21,1683096,2317
South Australia,Australia,2022-11-21,800347,1060
Tasmania,Australia,2022-11-21,258301,201
Victoria,Australia,2022-11-21,2703142,5971
Western Australia,Australia,2022-11-21,1198725,735
Australian Capital Territory,Australia,2022-11-22,212092,129
New South Wales,Australia,2022-11-22,3608974,5515
Northern Territory,Australia,2022-11-22,99410,79
Queensland,Australia,2022-11-22,1683096,2317
South Australia,Australia,2022-11-22,800347,1060
Tasmania,Australia,2022-11-22,258301,201
Victoria,Australia,2022-11-22,2707003,5978
Western Australia,Australia,2022-11-22,1198725,735
Australian Capital Territory,Australia,2022-11-23,212092,129
New South Wales,Australia,2022-11-23,3608974,5515
Northern Territory,Australia,2022-11-23,99410,79
Queensland,Australia,2022-11-23,1683096,2317
South Australia,Australia,2022-11-23,800347,1060
Tasmania,Australia,2022-11-23,258301,201
Victoria,Australia,2022-11-23,2710843,5990
Western Australia,Australia,2022-11-23,1198725,735
Australian Capital Territory,Australia,2022-11-24,212092,129
New South Wales,Australia,2022-11-24,3640480,5540
Northern Territory,Australia,2022-11-24,99737,79
Queensland,Australia,2022-11-24,1693178,2317
South Australia,Australia,2022-11-24,800347,1060
Tasmania,Australia,2022-11-24,258301,201
Victoria,Australia,2022-11-24,2714014,5999
Western Australia,Australia,2022-11-24,1209214,750
Australian Capital Territory,Australia,2022-11-25,212092,129
New South Wales,Australia,2022-11-25,3640480,5540
Northern Territory,Australia,2022-11-25,99737,79
Queensland,Australia,2022-11-25,1693178,2331
South Australia,Australia,2022-11-25,809861,1067
Tasmania,Australia,2022-11-25,260950,201
Victoria,Australia,2022-11-25,2717657,6003
Western Australia,Australia,2022-11-25,1209214,750
Australian Capital Territory,Australia,2022-11-26,212092,129
New South Wales,Australia,2022-11-26,3640480,5540
Northern Territory,Australia,2022-11-26,99737,79
Queensland,Australia,2022-11-26,1693178,2331
South Australia,Australia,2022-11-26,809861,1067
Tasmania,Australia,2022-11-26,260950,201
Victoria,Australia,2022-11-26,2721084,6003
Western Australia,Australia,2022-11-26,1209214,750
Australian Capital Territory,Australia,2022-11-27,212092,129
New South Wales,Australia,2022-11-27,3640480,5540
Northern Territory,Australia,2022-11-27,99737,79
Queensland,Australia,2022-11-27,1693178,2331
South Australia,Australia,2022-11-27,809861,1067
Tasmania,Australia,2022-11-27,260950,201
Victoria,Australia,2022-11-27,2724235,6003
Western Australia,Australia,2022-11-27,1209214,750
Australian Capital Territory,Australia,2022-11-28,212092,129
New South Wales,Australia,2022-11-28,3640480,5540
Northern Territory,Australia,2022-11-28,99737,79
Queensland,Australia,2022-11-28,1693178,2331
South Australia,Australia,2022-11-28,809861,1067
Tasmania,Australia,2022-11-28,260950,201
Victoria,Australia,2022-11-28,2728384,6022
Western Australia,Australia,2022-11-28,1209214,750
Australian Capital Territory,Australia,2022-11-29,209414,129
New South Wales,Australia,2022-11-29,3640480,5540
Northern Territory,Australia,2022-11-29,99737,79
Queensland,Australia,2022-11-29,1693178,2331
South Australia,Australia,2022-11-29,809861,1067
Tasmania,Australia,2022-11-29,260950,201
Victoria,Australia,2022-11-29,2732762,6027
Western Australia,Australia,2022-11-29,1209214,750
Australian Capital Territory,Australia,2022-11-30,209414,129
New South Wales,Australia,2022-11-30,3640480,5540
Northern Territory,Australia,2022-11-30,99737,79
Queensland,Australia,2022-11-30,1693178,2331
South Australia,Australia,2022-11-30,809861,1067
Tasmania,Australia,2022-11-30,260950,201
Victoria,Australia,2022-11-30,2737064,6040
Western Australia,Australia,2022-11-30,1209214,750
Australian Capital Territory,Australia,2022-12-01,216088,129
New South Wales,Australia,2022-12-01,3678261,5572
Northern Territory,Australia,2022-12-01,100490,81
Queensland,Australia,2022-12-01,1704395,2331
South Australia,Australia,2022-12-01,820092,1078
Tasmania,Australia,2022-12-01,260950,201
Victoria,Australia,2022-12-01,2740933,6047
Western Australia,Australia,2022-12-01,1220918,764
Australian Capital Territory,Australia,2022-12-02,216088,130
New South Wales,Australia,2022-12-02,3678261,5572
Northern Territory,Australia,2022-12-02,100490,81
Queensland,Australia,2022-12-02,1702314,2346
South Australia,Australia,2022-12-02,820092,1078
Tasmania,Australia,2022-12-02,264905,206
Victoria,Australia,2022-12-02,2745077,6067
Western Australia,Australia,2022-12-02,1220918,764
Australian Capital Territory,Australia,2022-12-03,216088,130
New South Wales,Australia,2022-12-03,3678261,5572
Northern Territory,Australia,2022-12-03,100490,81
Queensland,Australia,2022-12-03,1702314,2346
South Australia,Australia,2022-12-03,820092,1078
Tasmania,Australia,2022-12-03,264905,206
Victoria,Australia,2022-12-03,2748250,6067
Western Australia,Australia,2022-12-03,1220918,764
Australian Capital Territory,Australia,2022-12-04,216088,130
New South Wales,Australia,2022-12-04,3678261,5572
Northern Territory,Australia,2022-12-04,100490,81
Queensland,Australia,2022-12-04,1702314,2346
South Australia,Australia,2022-12-04,820092,1078
Tasmania,Australia,2022-12-04,264905,206
Victoria,Australia,2022-12-04,2751361,6067
Western Australia,Australia,2022-12-04,1220918,764
Australian Capital Territory,Australia,2022-12-05,216088,130
New South Wales,Australia,2022-12-05,3678261,5572
Northern Territory,Australia,2022-12-05,100490,81
Queensland,Australia,2022-12-05,1702314,2346
South Australia,Australia,2022-12-05,820092,1078
Tasmania,Australia,2022-12-05,264905,206
Victoria,Australia,2022-12-05,2756204,6087
Western Australia,Australia,2022-12-05,1220918,764
Australian Capital Territory,Australia,2022-12-06,216088,130
New South Wales,Australia,2022-12-06,3678261,5572
Northern Territory,Australia,2022-12-06,100490,81
Queensland,Australia,2022-12-06,1702314,2346
South Australia,Australia,2022-12-06,820092,1078
Tasmania,Australia,2022-12-06,264905,206
Victoria,Australia,2022-12-06,2760581,6107
Western Australia,Australia,2022-12-06,1220918,764
Australian Capital Territory,Australia,2022-12-07,216088,130
New South Wales,Australia,2022-12-07,3678261,5572
Northern Territory,Australia,2022-12-07,100490,81
Queensland,Australia,2022-12-07,1702314,2346
South Australia,Australia,2022-12-07,820092,1078
Tasmania,Australia,2022-12-07,264905,206
Victoria,Australia,2022-12-07,2764865,6127
Western Australia,Australia,2022-12-07,1220918,764
Australian Capital Territory,Australia,2022-12-08,218698,135
New South Wales,Australia,2022-12-08,3718440,5620
Northern Territory,Australia,2022-12-08,101312,83
Queensland,Australia,2022-12-08,1714583,2361
South Australia,Australia,2022-12-08,830702,1109
Tasmania,Australia,2022-12-08,264905,206
Victoria,Australia,2022-12-08,2768656,6132
Western Australia,Australia,2022-12-08,1233271,792
Australian Capital Territory,Australia,2022-12-09,218698,135
New South Wales,Australia,2022-12-09,3718440,5620
Northern Territory,Australia,2022-12-09,101312,83
Queensland,Australia,2022-12-09,1714583,2361
South Australia,Australia,2022-12-09,830078,1109
Tasmania,Australia,2022-12-09,268935,209
Victoria,Australia,2022-12-09,2771624,6153
Western Australia,Australia,2022-12-09,1233271,792
Australian Capital Territory,Australia,2022-12-10,218698,135
New South Wales,Australia,2022-12-10,3718440,5620
Northern Territory,Australia,2022-12-10,101312,83
Queensland,Australia,2022-12-10,1714583,2361
South Australia,Australia,2022-12-10,830078,1109
Tasmania,Australia,2022-12-10,268935,209
Victoria,Australia,2022-12-10,2774310,6153
Western Australia,Australia,2022-12-10,1233271,792
Australian Capital Territory,Australia,2022-12-11,218698,135
New South Wales,Australia,2022-12-11,3718440,5620
Northern Territory,Australia,2022-12-11,101312,83
Queensland,Australia,2022-12-11,1714583,2361
South Australia,Australia,2022-12-11,830078,1109
Tasmania,Australia,2022-12-11,268935,209
Victoria,Australia,2022-12-11,2777183,6153
Western Australia,Australia,2022-12-11,1233271,792
Australian Capital Territory,Australia,2022-12-12,218698,135
New South Wales,Australia,2022-12-12,3718440,5620
Northern Territory,Australia,2022-12-12,101312,83
Queensland,Australia,2022-12-12,1714583,2361
South Australia,Australia,2022-12-12,830078,1109
Tasmania,Australia,2022-12-12,268935,209
Victoria,Australia,2022-12-12,2781559,6173
Western Australia,Australia,2022-12-12,1233271,792
Australian Capital Territory,Australia,2022-12-13,218698,135
New South Wales,Australia,2022-12-13,3718440,5620
Northern Territory,Australia,2022-12-13,101312,83
Queensland,Australia,2022-12-13,1714583,2361
South Australia,Australia,2022-12-13,830078,1109
Tasmania,Australia,2022-12-13,268935,209
Victoria,Australia,2022-12-13,2785441,6183
Western Australia,Australia,2022-12-13,1233271,792
Australian Capital Territory,Australia,2022-12-14,218698,135
New South Wales,Australia,2022-12-14,3718440,5620
Northern Territory,Australia,2022-12-14,101312,83
Queensland,Australia,2022-12-14,1714583,2361
South Australia,Australia,2022-12-14,830078,1109
Tasmania,Australia,2022-12-14,268935,209
Victoria,Australia,2022-12-14,2789650,6203
Western Australia,Australia,2022-12-14,1233271,792
Australian Capital Territory,Australia,2022-12-15,221718,136
New South Wales,Australia,2022-12-15,3759120,5694
Northern Territory,Australia,2022-12-15,102149,84
Queensland,Australia,2022-12-15,1729903,2394
South Australia,Australia,2022-12-15,842328,1126
Tasmania,Australia,2022-12-15,268935,209
Victoria,Australia,2022-12-15,2793223,6216
Western Australia,Australia,2022-12-15,1233271,792
Australian Capital Territory,Australia,2022-12-16,221718,136
New South Wales,Australia,2022-12-16,3759120,5694
Northern Territory,Australia,2022-12-16,102149,84
Queensland,Australia,2022-12-16,1729903,2394
South Australia,Australia,2022-12-16,842328,1126
Tasmania,Australia,2022-12-16,273019,216
Victoria,Australia,2022-12-16,2796503,6235
Western Australia,Australia,2022-12-16,1244838,807
Australian Capital Territory,Australia,2022-12-17,221718,136
New South Wales,Australia,2022-12-17,3759120,5694
Northern Territory,Australia,2022-12-17,102149,84
Queensland,Australia,2022-12-17,1729903,2394
South Australia,Australia,2022-12-17,842328,1126
Tasmania,Australia,2022-12-17,273019,216
Victoria,Australia,2022-12-17,2796503,6235
Western Australia,Australia,2022-12-17,1244838,807
Australian Capital Territory,Australia,2022-12-18,221718,136
New South Wales,Australia,2022-12-18,3759120,5694
Northern Territory,Australia,2022-12-18,102149,84
Queensland,Australia,2022-12-18,1729903,2394
South Australia,Australia,2022-12-18,842328,1126
Tasmania,Australia,2022-12-18,273019,216
Victoria,Australia,2022-12-18,2802299,6235
Western Australia,Australia,2022-12-18,1244838,807
Australian Capital Territory,Australia,2022-12-19,221718,136
New South Wales,Australia,2022-12-19,3759120,5694
Northern Territory,Australia,2022-12-19,102149,84
Queensland,Australia,2022-12-19,1729903,2394
South Australia,Australia,2022-12-19,842328,1126
Tasmania,Australia,2022-12-19,273019,216
Victoria,Australia,2022-12-19,2806129,6255
Western Australia,Australia,2022-12-19,1244838,807
Australian Capital Territory,Australia,2022-12-20,221718,136
New South Wales,Australia,2022-12-20,3759120,5694
Northern Territory,Australia,2022-12-20,102149,84
Queensland,Australia,2022-12-20,1729903,2394
South Australia,Australia,2022-12-20,842328,1126
Tasmania,Australia,2022-12-20,273019,216
Victoria,Australia,2022-12-20,2810305,6277
Western Australia,Australia,2022-12-20,1244838,807
Australian Capital Territory,Australia,2022-12-21,221718,136
New South Wales,Australia,2022-12-21,3759120,5694
Northern Territory,Australia,2022-12-21,102149,84
Queensland,Australia,2022-12-21,1729903,2394
South Australia,Australia,2022-12-21,842328,1126
Tasmania,Australia,2022-12-21,273019,216
Victoria,Australia,2022-12-21,2813883,6299
Western Australia,Australia,2022-12-21,1244838,807
Australian Capital Territory,Australia,2022-12-22,224902,138
New South Wales,Australia,2022-12-22,3797451,5772
Northern Territory,Australia,2022-12-22,102787,84
Queensland,Australia,2022-12-22,1743616,2405
South Australia,Australia,2022-12-22,853367,1144
Tasmania,Australia,2022-12-22,273019,216
Victoria,Australia,2022-12-22,2817370,6316
Western Australia,Australia,2022-12-22,1255595,841
Australian Capital Territory,Australia,2022-12-23,224902,138
New South Wales,Australia,2022-12-23,3797451,5772
Northern Territory,Australia,2022-12-23,102787,84
Queensland,Australia,2022-12-23,1743616,2405
South Australia,Australia,2022-12-23,853367,1144
Tasmania,Australia,2022-12-23,277091,222
Victoria,Australia,2022-12-23,2820140,6338
Western Australia,Australia,2022-12-23,1255595,837
Australian Capital Territory,Australia,2022-12-24,224902,138
New South Wales,Australia,2022-12-24,3797451,5772
Northern Territory,Australia,2022-12-24,102787,84
Queensland,Australia,2022-12-24,1743616,2405
South Australia,Australia,2022-12-24,853367,1144
Tasmania,Australia,2022-12-24,277091,222
Victoria,Australia,2022-12-24,2822382,6338
Western Australia,Australia,2022-12-24,1255595,837
Australian Capital Territory,Australia,2022-12-25,224902,138
New South Wales,Australia,2022-12-25,3797451,5772
Northern Territory,Australia,2022-12-25,102787,84
Queensland,Australia,2022-12-25,1743616,2405
South Australia,Australia,2022-12-25,853367,1144
Tasmania,Australia,2022-12-25,277091,222
Victoria,Australia,2022-12-25,2823987,6338
Western Australia,Australia,2022-12-25,1255595,837
Australian Capital Territory,Australia,2022-12-26,224902,138
New South Wales,Australia,2022-12-26,3797451,5772
Northern Territory,Australia,2022-12-26,102787,84
Queensland,Australia,2022-12-26,1743616,2405
South Australia,Australia,2022-12-26,853367,1144
Tasmania,Australia,2022-12-26,277091,222
Victoria,Australia,2022-12-26,2825877,6338
Western Australia,Australia,2022-12-26,1255595,837
Australian Capital Territory,Australia,2022-12-27,224902,138
New South Wales,Australia,2022-12-27,3797451,5772
Northern Territory,Australia,2022-12-27,102787,84
Queensland,Australia,2022-12-27,1743616,2405
South Australia,Australia,2022-12-27,853367,1144
Tasmania,Australia,2022-12-27,277091,222
Victoria,Australia,2022-12-27,2827994,6338
Western Australia,Australia,2022-12-27,1255595,837
Australian Capital Territory,Australia,2022-12-28,224902,138
New South Wales,Australia,2022-12-28,3797451,5772
Northern Territory,Australia,2022-12-28,102787,84
Queensland,Australia,2022-12-28,1743616,2405
South Australia,Australia,2022-12-28,853367,1144
Tasmania,Australia,2022-12-28,277091,222
Victoria,Australia,2022-12-28,2830731,6362
Western Australia,Australia,2022-12-28,1255595,837
Australian Capital Territory,Australia,2022-12-29,224902,138
New South Wales,Australia,2022-12-29,3825104,5804
Northern Territory,Australia,2022-12-29,103002,84
Queensland,Australia,2022-12-29,1743616,2405
South Australia,Australia,2022-12-29,862043,1155
Tasmania,Australia,2022-12-29,277091,222
Victoria,Australia,2022-12-29,2833882,6382
Western Australia,Australia,2022-12-29,1255595,837
Australian Capital Territory,Australia,2022-12-30,224902,138
New South Wales,Australia,2022-12-30,3825104,5804
Northern Territory,Australia,2022-12-30,103002,84
Queensland,Australia,2022-12-30,1743616,2405
South Australia,Australia,2022-12-30,862043,1155
Tasmania,Australia,2022-12-30,280254,224
Victoria,Australia,2022-12-30,2835767,6405
Western Australia,Australia,2022-12-30,1255595,837
Australian Capital Territory,Australia,2022-12-31,224902,138
New South Wales,Australia,2022-12-31,3825104,5804
Northern Territory,Australia,2022-12-31,103002,84
Queensland,Australia,2022-12-31,1743616,2405
South Australia,Australia,2022-12-31,862043,1155
Tasmania,Australia,2022-12-31,280254,224
Victoria,Australia,2022-12-31,2837191,6405
Western Australia,Australia,2022-12-31,1255595,837
Australian Capital Territory,Australia,2023-01-01,224902,138
New South Wales,Australia,2023-01-01,3825104,5804
Northern Territory,Australia,2023-01-01,103002,84
